VoteKit RankProfile
Candidates
(Meg Forney:0),(Mary McKelvey:1),(Alicia D. Smith:2),(Charles Rucker:3),(Katherine Kelly:4),(Tom Olsen:5),(Londel French:6),(overvote:7),(writein:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'1'},{'1'},{'3'},&,3.0,&
{'4'},{'1'},{'4'},&,7.0,&
{'8'},{'0'},,&,2.0,&
{'3'},{'5'},{'5'},&,6.0,&
{'3'},{'2'},{'2'},&,7.0,&
{'7'},{'4'},{'3'},&,1.0,&
{'7'},{'5'},{'2'},&,2.0,&
{'5'},{'8'},{'2'},&,1.0,&
{'3'},{'7'},{'2'},&,1.0,&
{'6'},{'6'},{'5'},&,2.0,&
{'4'},{'4'},{'5'},&,2.0,&
{'2'},{'1'},{'7'},&,1.0,&
{'3'},{'7'},{'7'},&,1.0,&
{'8'},{'1'},{'5'},&,1.0,&
{'5'},{'5'},{'6'},&,2.0,&
{'6'},{'1'},{'6'},&,1.0,&
{'5'},{'8'},{'4'},&,1.0,&
{'7'},{'6'},{'8'},&,1.0,&
{'8'},{'0'},{'2'},&,1.0,&
{'5'},{'5'},{'0'},&,3.0,&
{'5'},{'0'},{'0'},&,4.0,&
{'2'},{'2'},{'6'},&,1.0,&
{'3'},{'8'},{'4'},&,1.0,&
{'4'},{'7'},{'3'},&,1.0,&
{'3'},{'6'},{'6'},&,1.0,&
{'1'},{'3'},{'3'},&,1.0,&
{'5'},{'8'},{'6'},&,1.0,&
{'7'},{'0'},{'5'},&,1.0,&
{'8'},{'3'},{'4'},&,1.0,&
{'6'},{'6'},{'3'},&,1.0,&
{'8'},{'6'},{'2'},&,1.0,&
{'6'},{'8'},{'4'},&,2.0,&
{'4'},{'6'},{'4'},&,2.0,&
{'2'},{'4'},{'7'},&,1.0,&
{'8'},{'5'},{'4'},&,1.0,&
{'4'},{'3'},{'4'},&,2.0,&
{'4'},{'1'},{'1'},&,2.0,&
{'8'},{'5'},{'0'},&,1.0,&
{'2'},{'4'},{'8'},&,2.0,&
{'8'},{'5'},,&,1.0,&
{'3'},{'4'},{'4'},&,1.0,&
{'8'},{'2'},{'6'},&,1.0,&
{'8'},{'2'},{'0'},&,1.0,&
{'0'},{'0'},{'6'},&,2.0,&
{'8'},{'1'},,&,1.0,&
{'2'},{'8'},{'1'},&,1.0,&
{'8'},{'5'},{'1'},&,1.0,&
{'8'},{'3'},{'2'},&,1.0,&
{'6'},{'8'},{'5'},&,1.0,&
{'1'},{'8'},{'2'},&,1.0,&
{'5'},{'8'},{'1'},&,1.0,&
{'5'},{'3'},{'7'},&,1.0,&
{'1'},{'6'},{'6'},&,1.0,&
{'8'},{'8'},{'1'},&,1.0,&
{'8'},{'2'},,&,1.0,&
{'6'},{'4'},{'7'},&,1.0,&
