VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'0'},{'7'},{'4'},&,64.0,&
{'3'},{'8'},{'4'},&,43.0,&
{'1'},{'3'},{'6'},&,51.0,&
{'5'},{'2'},{'8'},&,48.0,&
{'1'},{'6'},{'7'},&,19.0,&
{'6'},{'4'},{'3'},&,71.0,&
{'6'},{'1'},{'3'},&,29.0,&
{'3'},{'6'},{'2'},&,36.0,&
{'4'},{'1'},{'7'},&,36.0,&
{'6'},{'3'},{'2'},&,36.0,&
{'6'},{'5'},{'6'},&,1.0,&
{'2'},{'8'},{'1'},&,14.0,&
{'4'},{'6'},{'2'},&,22.0,&
{'6'},{'7'},{'8'},&,28.0,&
{'8'},{'2'},{'0'},&,10.0,&
{'8'},{'5'},,&,5.0,&
{'3'},{'6'},{'1'},&,44.0,&
{'3'},{'7'},,&,155.0,&
{'4'},{'5'},{'7'},&,24.0,&
{'5'},{'0'},{'7'},&,46.0,&
{'2'},{'3'},{'0'},&,82.0,&
{'4'},{'3'},{'7'},&,48.0,&
{'5'},{'8'},{'3'},&,8.0,&
{'8'},{'7'},{'0'},&,23.0,&
{'4'},{'7'},{'1'},&,22.0,&
{'1'},{'6'},{'3'},&,24.0,&
{'3'},{'4'},{'6'},&,60.0,&
{'8'},{'7'},{'3'},&,31.0,&
{'8'},{'6'},{'3'},&,50.0,&
{'0'},{'6'},{'8'},&,57.0,&
{'5'},{'7'},,&,21.0,&
{'1'},{'8'},{'5'},&,20.0,&
{'0'},{'5'},{'8'},&,35.0,&
{'6'},{'0'},{'1'},&,44.0,&
{'7'},{'4'},{'5'},&,23.0,&
{'4'},{'7'},{'8'},&,22.0,&
{'0'},{'5'},{'7'},&,49.0,&
{'1'},{'6'},{'8'},&,10.0,&
{'3'},{'5'},{'4'},&,93.0,&
{'0'},{'8'},{'1'},&,34.0,&
{'0'},{'7'},{'8'},&,52.0,&
{'6'},{'7'},{'5'},&,13.0,&
{'1'},{'5'},{'1'},&,17.0,&
{'7'},{'0'},{'4'},&,56.0,&
{'4'},{'6'},{'0'},&,34.0,&
{'1'},{'7'},{'3'},&,17.0,&
{'0'},{'6'},{'3'},&,69.0,&
{'2'},{'7'},,&,21.0,&
{'4'},{'2'},{'6'},&,34.0,&
{'2'},{'3'},{'4'},&,54.0,&
{'4'},{'1'},{'8'},&,10.0,&
{'1'},{'7'},{'5'},&,26.0,&
{'3'},{'6'},{'8'},&,61.0,&
{'0'},{'7'},{'2'},&,75.0,&
{'8'},{'2'},{'6'},&,10.0,&
{'3'},{'6'},{'6'},&,5.0,&
{'6'},{'4'},,&,24.0,&
{'5'},{'6'},{'0'},&,37.0,&
{'2'},{'5'},{'0'},&,96.0,&
{'3'},{'5'},{'7'},&,25.0,&
{'1'},{'7'},{'2'},&,36.0,&
{'8'},{'1'},{'7'},&,10.0,&
{'3'},{'6'},,&,72.0,&
{'2'},{'6'},{'3'},&,34.0,&
{'2'},{'2'},{'2'},&,71.0,&
{'6'},{'5'},{'8'},&,8.0,&
{'2'},{'3'},{'8'},&,21.0,&
{'0'},{'1'},{'0'},&,8.0,&
{'8'},{'6'},{'5'},&,11.0,&
{'0'},{'9'},{'9'},&,19.0,&
{'7'},{'0'},{'1'},&,103.0,&
{'0'},{'8'},{'3'},&,41.0,&
{'8'},{'0'},{'6'},&,14.0,&
{'7'},{'0'},{'6'},&,44.0,&
{'5'},{'1'},{'9'},&,20.0,&
{'0'},{'6'},{'5'},&,43.0,&
{'6'},{'5'},{'1'},&,24.0,&
{'5'},{'7'},{'0'},&,31.0,&
{'3'},{'4'},{'8'},&,51.0,&
{'7'},{'3'},{'1'},&,47.0,&
{'8'},{'3'},{'4'},&,30.0,&
{'7'},{'7'},{'7'},&,57.0,&
{'2'},{'8'},{'6'},&,52.0,&
{'6'},{'6'},{'6'},&,46.0,&
{'4'},{'8'},,&,14.0,&
{'7'},{'5'},,&,26.0,&
{'8'},{'4'},,&,16.0,&
{'9'},{'9'},{'9'},&,137.0,&
{'1'},{'7'},,&,40.0,&
{'0'},{'10'},{'0'},&,1.0,&
{'6'},{'0'},{'2'},&,32.0,&
{'8'},{'7'},{'6'},&,29.0,&
{'4'},{'6'},{'6'},&,1.0,&
{'2'},{'3'},{'6'},&,22.0,&
{'4'},{'4'},,&,6.0,&
{'2'},{'4'},{'7'},&,34.0,&
{'2'},{'4'},{'8'},&,21.0,&
{'6'},{'8'},{'2'},&,17.0,&
{'4'},{'9'},,&,10.0,&
{'0'},{'7'},{'3'},&,168.0,&
{'7'},{'5'},{'2'},&,42.0,&
{'7'},{'6'},{'0'},&,34.0,&
{'8'},{'0'},{'8'},&,2.0,&
{'4'},{'2'},{'7'},&,27.0,&
{'3'},{'2'},{'6'},&,45.0,&
{'8'},{'7'},,&,24.0,&
{'7'},{'8'},,&,28.0,&
{'3'},{'1'},{'8'},&,13.0,&
{'7'},{'5'},{'1'},&,29.0,&
{'3'},{'4'},{'7'},&,53.0,&
{'4'},{'0'},{'7'},&,55.0,&
{'8'},{'1'},,&,9.0,&
{'8'},{'0'},{'2'},&,8.0,&
{'0'},{'8'},,&,50.0,&
{'3'},{'8'},,&,39.0,&
{'8'},{'3'},{'8'},&,4.0,&
{'2'},{'10'},{'10'},&,1.0,&
{'6'},{'8'},{'6'},&,4.0,&
{'5'},{'7'},{'3'},&,18.0,&
{'7'},{'8'},{'1'},&,5.0,&
{'6'},{'3'},{'8'},&,41.0,&
{'4'},{'6'},{'1'},&,29.0,&
{'7'},{'5'},{'4'},&,21.0,&
{'1'},{'2'},{'7'},&,30.0,&
{'10'},{'5'},{'4'},&,2.0,&
{'3'},{'6'},{'7'},&,48.0,&
{'4'},{'3'},{'8'},&,34.0,&
{'7'},{'8'},{'4'},&,27.0,&
{'2'},{'1'},{'3'},&,47.0,&
{'7'},{'2'},{'5'},&,14.0,&
{'8'},{'0'},{'3'},&,31.0,&
{'5'},{'3'},{'6'},&,21.0,&
{'3'},{'9'},{'2'},&,1.0,&
{'2'},{'1'},{'7'},&,20.0,&
{'1'},{'0'},{'1'},&,12.0,&
{'6'},{'4'},{'7'},&,13.0,&
{'4'},{'8'},{'3'},&,25.0,&
{'3'},{'8'},{'2'},&,23.0,&
{'10'},{'2'},{'2'},&,1.0,&
{'4'},{'3'},{'6'},&,45.0,&
{'0'},{'1'},{'9'},&,21.0,&
{'4'},{'0'},{'4'},&,6.0,&
{'6'},{'2'},{'4'},&,19.0,&
{'4'},{'8'},{'7'},&,22.0,&
{'7'},{'5'},{'8'},&,8.0,&
{'1'},{'7'},{'8'},&,11.0,&
{'7'},{'2'},{'8'},&,26.0,&
{'8'},{'2'},{'4'},&,10.0,&
{'0'},{'8'},{'5'},&,29.0,&
{'2'},{'7'},{'4'},&,15.0,&
{'0'},{'6'},{'2'},&,54.0,&
{'5'},{'7'},{'1'},&,26.0,&
