6,1,
1,5,1,3,2,6,4,
2,5,1,3,4,2,6,
1,5,1,3,4,6,2,
1,5,1,3,6,
4,5,1,3,6,2,4,
4,5,1,4,
1,5,1,4,2,6,
2,5,1,4,2,6,3,
2,5,1,4,3,6,2,
1,5,1,4,6,2,3,
5,5,1,6,
7,5,1,6,2,3,4,
3,5,1,6,2,4,3,
1,5,1,6,3,
1,5,1,6,3,2,4,
2,5,1,6,3,4,2,
2,5,1,6,4,2,3,
1,5,1,6,4,3,2,
65,5,2,
9,5,2,1,
1,5,2,1,3,4,6,
2,5,2,1,3,6,4,
1,5,2,1,4,
4,5,2,1,4,6,3,
2,5,2,1,6,
1,5,2,1,6,3,
4,5,2,1,6,3,4,
2,5,2,1,6,4,3,
3,5,2,3,
3,5,2,3,1,6,4,
2,5,2,3,4,1,6,
7,5,2,3,4,6,1,
1,5,2,3,6,1,4,
6,5,2,3,6,4,1,
3,5,2,4,
3,5,2,4,1,3,6,
1,5,2,4,3,
2,5,2,4,3,1,6,
12,5,2,4,3,6,1,
10,5,2,4,6,1,3,
9,5,2,4,6,3,1,
9,5,2,6,
1,5,2,6,1,
6,5,2,6,1,3,4,
4,5,2,6,1,4,3,
3,5,2,6,3,1,4,
4,5,2,6,3,4,1,
1,5,2,6,4,
1,5,2,6,4,1,
7,5,2,6,4,1,3,
18,5,2,6,4,3,1,
62,5,3,
3,5,3,1,
1,5,3,1,2,
1,5,3,1,2,4,6,
1,5,3,1,2,6,4,
2,5,3,1,4,2,6,
3,5,3,1,6,2,4,
1,5,3,1,6,4,2,
5,5,3,2,
3,5,3,2,1,4,6,
6,5,3,2,4,6,1,
7,5,3,2,6,4,1,
5,5,3,4,
3,5,3,4,1,2,6,
1,5,3,4,1,6,
3,5,3,4,2,1,6,
1,5,3,4,2,6,
3,5,3,4,2,6,1,
2,5,3,4,6,2,1,
4,5,3,6,
1,5,3,6,1,
1,5,3,6,1,2,4,
1,5,3,6,2,
3,5,3,6,2,1,4,
2,5,3,6,2,4,1,
1,5,3,6,4,1,2,
5,5,3,6,4,2,1,
22,5,4,
2,5,4,1,
2,5,4,1,2,3,6,
3,5,4,1,2,6,3,
1,5,4,1,3,2,6,
2,5,4,1,6,3,2,
1,5,4,2,
1,5,4,2,1,
2,5,4,2,1,3,6,
2,5,4,2,3,1,6,
2,5,4,2,3,6,1,
3,5,4,2,6,1,3,
6,5,4,2,6,3,1,
2,5,4,3,
3,5,4,3,1,2,6,
19,5,4,3,2,1,6,
3,5,4,3,2,6,1,
1,5,4,3,6,
1,5,4,3,6,1,2,
1,5,4,3,6,2,
13,5,4,3,6,2,1,
1,5,4,6,1,2,3,
4,5,4,6,2,1,3,
2,5,4,6,2,3,1,
2,5,4,6,3,1,2,
12,5,4,6,3,2,1,
141,5,6,
7,5,6,1,
3,5,6,1,2,
1,5,6,1,2,3,
17,5,6,1,2,3,4,
5,5,6,1,2,4,3,
1,5,6,1,3,
3,5,6,1,3,2,4,
2,5,6,1,3,4,2,
3,5,6,1,4,2,3,
2,5,6,1,4,3,2,
10,5,6,2,
1,5,6,2,1,3,
7,5,6,2,1,3,4,
7,5,6,2,1,4,3,
1,5,6,2,3,
10,5,6,2,3,1,4,
12,5,6,2,3,4,1,
1,5,6,2,4,
5,5,6,2,4,1,3,
8,5,6,2,4,3,1,
9,5,6,3,
2,5,6,3,1,
1,5,6,3,1,2,
4,5,6,3,1,2,4,
15,5,6,3,2,
1,5,6,3,2,1,
5,5,6,3,2,1,4,
1,5,6,3,2,4,
13,5,6,3,2,4,1,
2,5,6,3,4,1,2,
13,5,6,3,4,2,1,
4,5,6,4,
7,5,6,4,1,2,3,
3,5,6,4,2,
12,5,6,4,2,1,3,
1,5,6,4,2,3,
12,5,6,4,2,3,1,
4,5,6,4,3,1,2,
27,5,6,4,3,2,1,
3854,6,
124,6,1,
8,6,1,2,
8,6,1,2,3,4,5,
4,6,1,2,3,5,4,
6,6,1,2,4,3,5,
10,6,1,2,4,5,3,
10,6,1,2,5,3,4,
1,6,1,2,5,4,
18,6,1,2,5,4,3,
1,6,1,3,
1,6,1,3,2,4,
1,6,1,3,2,4,5,
2,6,1,3,2,5,4,
3,6,1,3,4,2,5,
6,6,1,3,4,5,2,
6,6,1,3,5,2,4,
1,6,1,3,5,4,2,
1,6,1,4,
1,6,1,4,2,3,5,
2,6,1,4,2,5,3,
2,6,1,4,3,2,5,
2,6,1,4,3,5,2,
3,6,1,4,5,2,3,
2,6,1,4,5,3,2,
11,6,1,5,
2,6,1,5,2,
10,6,1,5,2,3,4,
8,6,1,5,2,4,3,
1,6,1,5,3,
1,6,1,5,3,2,4,
2,6,1,5,3,4,2,
1,6,1,5,4,2,
4,6,1,5,4,2,3,
4,6,1,5,4,3,2,
106,6,2,
10,6,2,1,
5,6,2,1,3,5,4,
1,6,2,1,4,
1,6,2,1,4,3,5,
8,6,2,1,4,5,3,
5,6,2,1,5,3,4,
6,6,2,1,5,4,3,
3,6,2,3,
1,6,2,3,1,
1,6,2,3,1,4,5,
1,6,2,3,4,
1,6,2,3,4,1,
1,6,2,3,4,1,5,
9,6,2,3,4,5,1,
2,6,2,3,5,4,1,
1,6,2,4,
2,6,2,4,1,3,5,
1,6,2,4,3,1,5,
2,6,2,4,3,5,1,
1,6,2,4,5,1,
6,6,2,4,5,1,3,
6,6,2,4,5,3,1,
10,6,2,5,
2,6,2,5,1,
4,6,2,5,1,3,4,
9,6,2,5,1,4,3,
1,6,2,5,3,
2,6,2,5,3,1,4,
5,6,2,5,3,4,1,
15,6,2,5,4,1,3,
15,6,2,5,4,3,1,
64,6,3,
5,6,3,1,
2,6,3,1,2,4,5,
1,6,3,1,2,5,4,
2,6,3,1,4,2,5,
1,6,3,1,4,5,
1,6,3,1,4,5,2,
1,6,3,1,5,
4,6,3,1,5,2,4,
1,6,3,1,5,4,2,
2,6,3,2,
2,6,3,2,1,4,5,
1,6,3,2,1,5,4,
1,6,3,2,4,1,5,
4,6,3,2,4,5,1,
1,6,3,2,5,
2,6,3,2,5,1,4,
3,6,3,2,5,4,1,
1,6,3,4,
2,6,3,4,1,2,5,
1,6,3,4,1,5,2,
2,6,3,4,2,
4,6,3,4,2,5,1,
14,6,3,4,5,2,1,
8,6,3,5,
2,6,3,5,1,2,4,
3,6,3,5,2,1,4,
7,6,3,5,2,4,1,
1,6,3,5,4,1,
3,6,3,5,4,1,2,
7,6,3,5,4,2,1,
41,6,4,
2,6,4,1,
1,6,4,1,2,3,5,
4,6,4,1,2,5,3,
1,6,4,1,3,
2,6,4,1,5,3,2,
1,6,4,2,
4,6,4,2,1,3,5,
2,6,4,2,1,5,3,
1,6,4,2,3,1,5,
2,6,4,2,3,5,1,
1,6,4,2,5,
1,6,4,2,5,1,3,
